"status","code","msg","response__c","response__h","response__l","response__ch","response__cp","response__t","response__s","response__cty","response__ccy","response__exch","response__id","response__tm","info__exchanges","info__sectors","info__server_time","info__credit_count","info___t"
"","","","4567.95","4625.00","4456.00","+67.25","1.49%","1611050398","SCHE","india","INR","NSE","63983","2021-01-19 09:59:58","","","","",""
"","","","402.50","416.90","400.20","+4.10","1.03%","1593165581","FEDM","india","INR","NSE","63984","2020-06-26 09:59:41","","","","",""
"","","","379.95","385.50","371.00","+9.20","2.48%","1611050395","FNXC","india","INR","NSE","63985","2021-01-19 09:59:55","","","","",""
"","","","625.00","628.85","611.80","+7.45","1.21%","1611050395","FINX","india","INR","NSE","63986","2021-01-19 09:59:55","","","","",""
"","","","92.00","94.45","91.00","+0.50","0.55%","1611050399","FISO","india","INR","NSE","63987","2021-01-19 09:59:59","","","","",""
"","","","168.30","169.70","165.25","+4.40","2.68%","1611050399","FOHE","india","INR","NSE","63988","2021-01-19 09:59:59","","","","",""
"","","","7.95","8.00","7.80","0.00","0%","1611050399","FTRE","india","INR","NSE","63989","2021-01-19 09:59:59","","","","",""
"","","","208.50","211.50","207.50","-0.10","-0.05%","1611050384","GHCH","india","INR","NSE","63990","2021-01-19 09:59:44","","","","",""
"","","","269.85","275.40","269.50","+1.00","0.37%","1611050378","GESC","india","INR","NSE","63991","2021-01-19 09:59:38","","","","",""
"","","","5871.00","5917.45","5829.35","+25.80","0.44%","1611050399","GILE","india","INR","NSE","63992","2021-01-19 09:59:59","","","","",""
"","","","966.95","973.50","958.50","+4.00","0.42%","1611050397","GDFR","india","INR","NSE","63993","2021-01-19 09:59:57","","","","",""
"","","","1408.00","1414.00","1353.80","+54.25","4.01%","1611050399","GODR","india","INR","NSE","63994","2021-01-19 09:59:59","","","","",""
"","","","324.00","325.70","312.10","+14.75","4.77%","1611050397","GRPH","india","INR","NSE","63995","2021-01-19 09:59:57","","","","",""
"","","","92.40","94.30","91.10","+2.45","2.72%","1611050399","GRVL","india","INR","NSE","63996","2021-01-19 09:59:59","","","","",""
"","","","340.45","343.35","337.60","+2.80","0.83%","1611050399","GALK","india","INR","NSE","63997","2021-01-19 09:59:59","","","","",""
"","","","60.40","61.00","58.70","+1.50","2.55%","1611050399","GMDC","india","INR","NSE","63998","2021-01-19 09:59:59","","","","",""
"","","","210.85","215.00","208.60","+0.05","0.02%","1611050399","GNFC","india","INR","NSE","63999","2021-01-19 09:59:59","","","","",""
"","","","78.70","81.20","78.10","-0.40","-0.51%","1611050398","GSFC","india","INR","NSE","64000","2021-01-19 09:59:58","","","","",""
"","","","368.30","369.80","366.25","+1.95","0.53%","1611050399","GGAS","india","INR","NSE","64001","2021-01-19 09:59:59","","","","",""
"","","","32.60","33.05","32.25","+0.55","1.72%","1611050391","HAWY","india","INR","NSE","64002","2021-01-19 09:59:51","","","","",""
"","","","979.50","989.00","958.65","+27.10","2.85%","1611050399","HEGL","india","INR","NSE","64003","2021-01-19 09:59:59","","","","",""
"","","","142.00","144.95","142.00","+0.90","0.64%","1611050393","HMSD","india","INR","NSE","64004","2021-01-19 09:59:53","","","","",""
"","","","32.85","33.45","30.55","+2.75","9.14%","1611050399","HFCL","india","INR","NSE","64005","2021-01-19 09:59:59","","","","",""
